sample,BranchLength,BranchVolume,DBHcyl,DBHqsm,LengthBranchOrder,LengthCylDiam,MaxBranchOrder,NumberBranchOrder,NumberBranches,TotalArea,TotalVolume,TreeHeight,TrunkLength,TrunkVolume,VolumeBranchOrder,VolumeCylDiam,PA,IoU,DSC,MSE,NHD
T327,397.05157,1263.619,0.32919616,0.31748328,0.911814,60.723614,7,55,431,71.94672,2013.6157,16.78705,15.374896,749.9969,680.05707,1.0751343,0.825,0.688666419,0.81550507,0.175,0.072664705
T328,496.6086,999.81335,0.3158226,0.3158226,0.5563557,42.21004,8,15,472,76.71359,1588.2732,18.205185,15.880485,588.4598,311.70334,0.96379185,0.938039216,0.89263285,0.943027711,0.061960784,0.005377124
T329,71.18746,62.125618,0.06665889,0.060927622,0.18298826,7.954706,4,18,86,8.66223,87.90745,12.039642,13.000199,25.781834,20.348186,0.24895002,0.941358025,0.890826616,0.942046958,0.058641975,0.015711324
T330,335.65747,590.1772,0.13281693,0.13281693,0.6717507,35.94258,5,34,336,45.854435,697.0875,12.3094845,13.65706,106.91039,211.9366,0.93836707,0.937950938,0.877525253,0.934582358,0.062049062,0.101588714
T331,98.90914,140.811,0.53618824,0.53618824,0.09107999,5.64477,6,1,94,16.154995,647.383,9.106058,3.7692325,506.57208,31.191448,0.15472323,0.775462963,0.66323709,0.794361838,0.224537037,0.097111619
T332,383.54855,562.3277,0.26471516,0.2647145,0.75672615,30.725437,7,27,378,55.977646,1138.6283,19.554497,19.387943,576.30066,216.69968,0.7707107,0.918518519,0.891513057,0.942443593,0.081481481,0.035408266
T333,64.81092,42.698322,0.05759568,0.05759568,0.07192105,5.187587,5,4,72,5.853216,48.41782,5.056181,3.0617516,5.719498,7.352198,0.1509188,0.958333333,0.944444444,0.96969697,0.041666667,0.006049203
T334,797.4876,1504.6514,0.34277526,0.30101448,0.62176085,70.31436,8,26,872,106.79245,2046.7406,16.869139,15.941252,542.08936,351.83484,1.9203461,0.734814815,0.590789666,0.741918312,0.265185185,0.083357123
T335,31.31416,30.846674,0.07618998,0.06603139,0.08997828,0.6627523,3,3,23,3.858159,41.97104,5.5258846,3.0671024,11.124366,13.191175,0.029185746,0.947916667,0.895520189,0.944159715,0.052083333,0.00590328
T336,47.683285,54.97637,0.07706404,0.07706404,0.24224184,3.262264,4,16,40,6.0719275,73.604965,6.381975,4.5310125,18.628593,39.79432,0.07248623,0.993764172,0.985809313,0.99282667,0.006235828,0.02498974
T337,169.95052,269.04047,0.7514962,0.7514962,0.4843424,10.872594,4,20,150,36.530556,1931.348,20.319195,21.565622,1662.3076,107.34756,0.2649276,0.930555556,0.904357668,0.948440066,0.069444444,0.064749085
T338,418.00702,499.80914,0.1271063,0.13085052,0.5813604,26.575891,6,23,454,50.02137,577.24945,13.051124,13.478112,77.44029,113.13658,0.6266509,0.690972222,0.456737054,0.625531499,0.309027778,0.070563731
T339,16.75497,50.54747,0.005,0.005,0.033562124,0.51764816,4,2,18,2.8653345,57.399612,2.836669,0.7363064,6.8521447,29.725704,0.010163998,0.951851852,0.917283951,0.956558989,0.048148148,0.027749054
T340,54.85032,415.4599,0.19103251,0.19103251,0.060405474,3.7777524,5,3,63,14.9512615,457.4166,2.0111322,0.6495075,41.956696,85.833916,0.07417598,0.801587302,0.661645022,0.795638968,0.198412698,0.212934219
T341,113.6174,1047.4558,0.8474825,0.8474825,0.46771675,25.154133,4,20,87,39.794704,3003.6218,20.491552,18.81613,1956.1658,710.78375,0.56131256,0.852040816,0.730603448,0.842739464,0.147959184,0.187121558
T342,87.20896,786.05383,0.2610134,0.22019644,0.24146225,4.698462,4,5,57,26.904163,985.6341,7.6555796,4.087727,199.5802,379.32065,0.10408641,0.888888889,0.816986855,0.898696503,0.111111111,0.129326612
T343,7.163006,6.6063194,0.05981795,0.05981795,0.05961544,0.15986277,2,4,5,1.5619375,16.133278,6.4870567,6.6695523,9.526958,6.1964073,0.006599209,0.628117914,0.515448604,0.677027899,0.371882086,0.210115271
T344,68.96198,49.017612,0.07593637,0.07593637,0.18576771,9.877759,4,14,93,6.983888,69.45687,8.5443,7.4402,20.43926,21.28959,0.31751534,0.85462963,0.808888889,0.893093181,0.14537037,0.056780177
T345,423.06656,1458.8109,0.2873243,0.28603843,0.38335484,32.01214,7,14,336,83.26838,2008.2554,17.702866,16.484352,549.4445,344.70093,0.68418187,0.70523416,0.499484724,0.662641899,0.29476584,0.019219267
T346,327.6814,600.4912,0.22652264,0.22652264,0.4520589,28.742874,6,16,254,51.103317,823.19543,17.93895,21.647753,222.70418,164.05647,0.5537,0.816666667,0.73034188,0.842427249,0.183333333,0.007655537
T347,44.901546,34.144367,0.05832645,0.05832645,0.15211906,3.772148,4,7,42,5.712533,194.8151,7.558583,4.135671,160.67072,15.712472,0.0995058,0.822916667,0.748891719,0.852668882,0.177083333,0.235648756
T348,15.664212,7.21593,0.046389405,0.046389405,0.09491395,2.863552,3,11,18,1.8549712,15.256137,6.4526954,6.866116,8.040207,4.5098267,0.10411453,0.808333333,0.698172198,0.816057816,0.191666667,0.01188425
T349,1394.143,4416.0366,0.6168158,0.6168158,0.53386205,95.48343,9,20,1179,256.16574,6375.394,23.774881,22.738676,1959.3584,582.6263,1.9686451,0.970833333,0.954317713,0.976134029,0.029166667,0.03015564
T350,6.3060603,25.192368,0.060258646,0.060258646,0.019250553,0.58294904,2,1,7,1.5563827,32.697742,1.2413197,0.99208593,7.505374,13.353758,0.011446177,0.895833333,0.862470862,0.923188406,0.104166667,0.032457483
T351,7.1757116,13.408935,0.07806467,0.07806467,0.041474126,0.6335112,3,4,10,1.6309997,27.332464,2.6716585,2.731897,13.92353,10.73689,0.022046559,0.907777778,0.806349206,0.892659933,0.092222222,0.034827912
T352,53.834736,41.687202,0.10136592,0.10136592,0.19569996,8.5895815,3,9,48,6.284456,107.09043,6.3289194,6.939052,65.40324,22.659132,0.24942546,0.985714286,0.974095797,0.986783581,0.014285714,0.027700339
T353,148.18036,581.16815,0.18197171,0.17859577,0.66963214,7.6895056,5,61,180,36.46518,943.4328,20.90194,22.168583,362.26465,386.8972,0.21324332,0.894545455,0.818783069,0.900012569,0.105454545,0.019114129
T354,81.30868,370.13882,0.2603821,0.2592861,0.43091014,4.9260893,5,36,89,22.376705,705.1512,9.610964,9.731447,335.0124,242.50542,0.09672355,1,1,1,0,0.023897232
T355,11.323534,5.354964,0.03526311,0.03526311,0.04349131,0.45860323,3,4,12,1.2398535,12.792042,3.621251,2.4521058,7.4370785,2.6788921,0.013594139,0.783549784,0.619455749,0.762055088,0.216450216,0.037732343
T356,702.6127,1546.1803,0.13490553,0.13512191,1.1600972,52.25985,6,62,763,105.97314,1724.1256,16.097692,21.06827,177.94542,447.3114,1.1857611,1,1,1,0,0.03633717
T357,6.4894896,4.0470552,0.05808919,0.05808919,0.048846703,1.0442822,2,4,6,0.8262689,7.8771224,1.9343495,2.2895553,3.8300674,3.700338,0.014003764,0.908950617,0.848990452,0.917295685,0.091049383,0.006683203
T358,34.120426,45.565323,0.11637491,0.10909292,0.07762783,1.5797036,4,7,30,4.753441,61.104855,4.6735516,3.0266883,15.539528,19.265633,0.031017404,0.9,0.832167832,0.90389016,0.1,0.061456837
T359,471.5012,698.6475,0.16416928,0.15906492,0.8209243,79.03851,6,25,399,58.711235,890.7306,21.6703,22.478891,192.08313,185.69124,1.7930341,0.983333333,0.970355731,0.984840655,0.016666667,0.031981237
T360,17.389023,33.213104,0.19110163,0.19005333,0.10143061,1.8800118,2,10,21,5.780142,186.09787,9.0739975,7.825302,152.88477,28.294207,0.039247107,0.883333333,0.837037037,0.910486443,0.116666667,0.05421265
T361,102.90797,345.64713,0.069532394,0.06643501,0.15811466,3.832265,5,4,81,19.485811,406.16107,8.13274,3.235258,60.51397,130.96039,0.06694977,0.914351852,0.865674603,0.927132566,0.085648148,0.10627769
T362,1088.5004,3428.3855,0.62017816,0.62017816,1.2528272,92.40088,10,35,913,191.0567,5008.946,22.132975,20.970533,1580.5603,1175.7635,2.5136688,0.90530303,0.829847215,0.90229637,0.09469697,0.126641448
T363,4.108177,21.146034,0.08978997,0.08978997,0.027984776,0.22435552,2,1,3,1.3145542,34.749496,1.9431372,0.7794298,13.60346,16.468397,0.00440521,0.868686869,0.753646995,0.859042347,0.131313131,0.073666073
T364,12.663833,4.280591,0.13012579,0.13012579,0.06501739,3.1346273,3,3,12,1.9117103,37.368584,3.0448608,4.876376,33.087994,3.669434,0.13470143,0.744444444,0.564327485,0.718773946,0.255555556,0.086743627
T365,354.07693,872.5193,0.18527608,0.18288015,0.599458,28.624542,6,23,391,59.904697,1125.8722,19.260187,17.25672,253.35275,268.66092,0.64936936,0.95,0.920589904,0.957778847,0.05,0.01141995
T366,311.94626,600.02167,0.29133815,0.29133815,0.6713431,26.901962,6,28,295,52.082375,1108.5536,18.554228,19.050602,508.53183,207.85341,0.72939944,0.967857143,0.94672619,0.972559394,0.032142857,0.037106598
T367,25.594,55.62706,0.11796099,0.11796099,0.066525295,2.1485398,4,3,22,4.890321,107.12658,4.7876263,3.281193,51.499516,34.588467,0.050935894,0.719373219,0.498050682,0.656128025,0.280626781,0.009278607
T368,1069.4221,3773.714,0.72115505,0.72115505,1.2776248,65.42195,7,42,908,199.5591,5343.928,21.964396,21.68508,1570.2137,1452.7942,1.4596692,0.769444444,0.614141414,0.752007252,0.230555556,0.03967302
T369,23.606903,53.75384,0.15066187,0.14725144,0.038385797,0.4320048,5,1,22,4.3565702,80.617004,3.145443,1.8938699,26.863163,21.066889,0.008482395,0.857142857,0.75647641,0.860191706,0.142857143,0.033000713
T370,512.2954,1495.3964,0.39763144,0.39763144,0.8467723,39.09352,6,40,450,95.560936,3517.3738,18.487722,19.791576,2021.9777,789.65155,0.80455726,0.978571429,0.962626263,0.980753809,0.021428571,0.022013713
T371,219.50967,208.51791,0.0954262,0.0954262,0.1119191,16.331394,6,2,203,23.008411,246.3619,6.2129936,3.5695884,37.843975,24.965048,0.44321933,0.767806268,0.510144928,0.671957672,0.232193732,0.006862774
T372,192.9391,1413.4431,0.289723,0.2431412,0.13760726,10.185312,6,3,184,47.08387,1660.7949,8.566725,5.3767576,247.35172,482.31644,0.20198627,0.901302401,0.808860487,0.89326564,0.098697599,0.071450221
T373,459.51254,536.44977,0.15260996,0.1491622,0.6540969,43.83114,6,24,510,51.89344,669.5905,12.329068,13.131594,133.1408,180.51003,0.9970271,0.8125,0.72540913,0.83659734,0.1875,0.014623963
